churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-816288,A-c37cab,10/27/2024,pricing,4.03,FALSE,FALSE,FALSE,switched to competitor
C-5a81e7,A-37f969,6/25/2024,support,96.45,TRUE,FALSE,FALSE,
C-a174be,A-b07346,11/12/2024,budget,0,FALSE,FALSE,FALSE,missing features
C-accb39,A-1e50e0,11/1/2023,budget,54.94,FALSE,FALSE,FALSE,switched to competitor
C-92f889,A-956988,12/30/2024,unknown,0,FALSE,TRUE,TRUE,too expensive
C-a8ac26,A-b20d99,3/4/2024,features,0,FALSE,FALSE,FALSE,missing features
C-2e2966,A-526d93,7/10/2024,features,34.4,TRUE,FALSE,FALSE,
C-ee531b,A-751bd4,9/22/2024,budget,0,FALSE,FALSE,FALSE,
C-e6a0f0,A-ccabf0,10/31/2024,features,0,FALSE,FALSE,FALSE,too expensive
C-9328ba,A-0a62f5,10/10/2024,features,0,FALSE,FALSE,FALSE,switched to competitor
C-c89493,A-3ce5b8,9/18/2024,features,261.49,FALSE,FALSE,FALSE,too expensive
C-c54ef0,A-3b5cd1,8/30/2024,unknown,77.87,FALSE,FALSE,FALSE,missing features
C-bb3556,A-bcf664,8/8/2024,competitor,0,FALSE,FALSE,FALSE,
C-875dc5,A-b9f5b1,7/21/2023,features,0,FALSE,FALSE,FALSE,switched to competitor
C-c8f7b4,A-0dbdc6,4/14/2024,pricing,175.02,FALSE,FALSE,FALSE,too expensive
C-865f19,A-c9bb3e,7/29/2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor
C-102614,A-96e141,7/22/2024,budget,43.53,FALSE,FALSE,FALSE,too expensive
C-4ab0e2,A-e7a1e2,9/8/2024,support,0,TRUE,FALSE,FALSE,missing features
C-742a59,A-812c5b,5/11/2024,support,11.83,FALSE,FALSE,FALSE,missing features
C-1f9cf2,A-1e50e0,4/26/2024,pricing,0,FALSE,FALSE,FALSE,switched to competitor
C-5d5a64,A-c70870,12/13/2024,competitor,0,FALSE,FALSE,FALSE,switched to competitor
C-f81017,A-271f46,8/9/2024,features,0,FALSE,FALSE,TRUE,missing features
C-3292be,A-592832,10/4/2024,support,22.66,FALSE,FALSE,FALSE,switched to competitor
C-e582ea,A-180abf,12/4/2023,support,0,FALSE,FALSE,FALSE,
C-100b97,A-0a282f,10/6/2024,features,0,FALSE,FALSE,FALSE,switched to competitor
C-8843d4,A-e51ec7,1/29/2024,support,0,FALSE,FALSE,FALSE,missing features
C-8b3048,A-034368,8/29/2024,features,0,TRUE,FALSE,FALSE,
C-48f456,A-8bde0c,11/28/2024,features,0,FALSE,FALSE,FALSE,missing features
C-dcdebc,A-08e34e,7/13/2024,competitor,225.18,FALSE,FALSE,FALSE,switched to competitor
C-8b229b,A-44dc83,11/29/2024,unknown,98.48,FALSE,TRUE,FALSE,missing features
C-7d13bf,A-78f02b,12/2/2024,unknown,0,FALSE,FALSE,FALSE,missing features
C-78a2bb,A-fce879,12/3/2024,features,0,TRUE,FALSE,FALSE,switched to competitor
C-935f48,A-34ea2f,10/5/2024,unknown,0,TRUE,FALSE,FALSE,
C-366a49,A-0baac2,12/24/2024,unknown,68.65,FALSE,FALSE,FALSE,switched to competitor
C-62e7a3,A-ac85cd,10/20/2024,features,83.94,FALSE,FALSE,FALSE,
C-f3aca2,A-439b2f,11/18/2024,features,0,FALSE,FALSE,FALSE,switched to competitor
C-3b7c60,A-0f6450,12/29/2024,competitor,0,FALSE,FALSE,FALSE,missing features
C-736efa,A-b78bf8,12/6/2024,unknown,0,FALSE,FALSE,FALSE,
C-f6e873,A-3b5cd1,7/24/2024,support,35.3,FALSE,FALSE,FALSE,too expensive
C-2e2a3f,A-7df7a7,7/10/2024,budget,0,FALSE,FALSE,FALSE,missing features
C-762dd4,A-396e5f,11/30/2024,features,0,FALSE,FALSE,FALSE,too expensive
